rank,nation,squad_size,average_age,total_value_pounds,confederation,points
1,Belgium,26,29.2,£601.56m,UEFA,1783
2,France,26,28,£925.20m,UEFA,1757
3,Brazil,25,27.5,£826.20m,CONMEBOL,1743
4,England,26,25.4,£1.16bn,UEFA,1687
5,Portugal,26,27.9,£747.45m,UEFA,1666
6,Spain,24,26.7,£839.70m,UEFA,1648
7,Italy,26,27.9,£695.70m,UEFA,1642
8,Argentina,28,27.7,£598.95m,CONMEBOL,1642
9,Uruguay,26,27.5,£340.56m,CONMEBOL,1639
10,Denmark,26,27.9,£297.63m,UEFA,1632
11,Mexico,23,28.1,£117.54m,CONCACAF,1630
12,Germany,25,27.6,£806.85m,UEFA,1609
13,Switzerland,25,26.9,£258.75m,UEFA,1606
14,Croatia,26,28,£339.12m,UEFA,1606
15,Colombia,28,28.2,£264.42m,CONMEBOL,1601
16,Netherlands,25,27.5,£546.35m,UEFA,1598
17,Wales,27,25.7,£159.35m,UEFA,1570
18,Sweden,23,28.5,£191.75m,UEFA,1570
19,Chile,29,27.4,£82.06m,CONMEBOL,1570
20,United States,23,24.6,£62.60m,CONCACAF,1555
21,Poland,25,27.2,£229.32m,UEFA,1550
22,Senegal,20,27.6,£269.10m,CAF,1542
23,Austria,26,28,£289.17m,UEFA,1523
24,Ukraine,26,26.6,£189.63m,UEFA,1515
25,Serbia,20,24.7,£89.19m,UEFA,1513
26  ,Tunisia,29,26.1,£53.10m,CAF,1513
27  ,Peru,26,27.8,£57.85m,CONMEBOL,1512
28  ,Japan,37,27.3,£131.31m,AFC,1509
29  ,Turkey,26,25.1,£292.50m,UEFA,1505
30  ,Venezuela,33,26,£67.14m,CONMEBOL,1501
31  ,Iran,29,27.9,£71.75m,AFC,1500
32  ,Nigeria,25,22.8,£270Th.,CAF,1487
33  ,Algeria,31,28.8,£175.01m,CAF,1487
34  ,Morocco,26,27.2,£214.65m,CAF,1479
35  ,Paraguay,28,27.4,£100.17m,CONMEBOL,1476
36  ,Slovakia,26,28.4,£117.99m,UEFA,1475
37  ,Hungary,26,28.3,£71.37m,UEFA,1469
38  ,Russia,26,28,£172.62m,UEFA,1463
39  ,South Korea,27,28.5,£115.92m,AFC,1460
40  ,Czech Republic,25,27.4,£171.45m,UEFA,1459
41  ,Australia,31,28.3,£35.64m,AFC,1457
42  ,Norway,24,25.6,£247.41m,UEFA,1452
43  ,Romania,25,27.4,£64.58m,UEFA,1449
44  ,Scotland,26,27.5,£243.00m,UEFA,1441
45  ,Jamaica,23,27.8,£63.81m,CONCACAF,1433
46  ,Egypt,27,28.5,£135.86m,CAF,1433
47  ,Republic of Ireland,26,25.6,£64.33m,UEFA,1427
48  ,Northern Ireland,25,25.6,£21.56m,UEFA,1426
49  ,Ghana,35,25.3,£106.43m,CAF,1425
50  ,Costa Rica,23,29.1,£12.65m,CONCACAF,1423
51,Greece,24,27,£85.01m,UEFA,1419
52,Iceland,24,24.9,£19.42m,UEFA,1416
53,Ecuador,29,26.9,£69.44m,CONMEBOL,1413
54,Finland,26,28.2,£40.19m,UEFA,1411
55,Cameroon,26,26.2,£81.14m,CAF,1405
55,Bosnia and Herzegovina,22,25.8,£66.65m,UEFA,1405
57,Mali,25,25.2,£47.66m,CAF,1401
58,Qatar,23,26.7,£14.45m,AFC,1398
59,Ivory Coast,26,28.5,£269.89m,CAF,1398
60,Burkina Faso,28,26.6,£72.52m,CAF,1393
61,Democratic Republic of Congo,33,27.7,£44.48m,CAF,1377
62,North Macedonia,23,26.8,£54.45m,UEFA,1375
63,Slovenia,23,26.4,£106.16m,UEFA,1370
64,Montenegro,23,27.7,£14.69m,UEFA,1368
65,Saudi Arabia,24,26.6,£26.10m,AFC,1364
66,Albania,24,26.2,£58.48m,UEFA,1362
67,Honduras,23,29.1,£10.22m,CONCACAF,1361
68,Iraq,23,25.4,£9.68m,AFC,1353
69,El Salvador,23,26.5,£3.26m,CONCACAF,1341
70,Canada,23,26.2,£43.67m,CONCACAF,1341
71,Bulgaria,26,27,£17.69m,UEFA,1339
72,Guinea,24,25.5,£29.05m,CAF,1332
73,United Arab Emirates,23,29.1,£20.18m,AFC,1330
73,Cabo Verde,25,27.9,£9.50m,CAF,1330
75,South Africa,13,25.7,£6.28m,CAF,1326
76,Curaçao,22,27.4,£14.99m,CONCACAF,1323
77,China,29,30.4,£20.57m,AFC,1323
78,Panama,23,29,£8.15m,CONCACAF,1322
79,Syria,23,26.6,£5.65m,AFC,1304
80,Oman,23,26.7,£5.31m,AFC,1302
81,Bolivia,27,26.9,£11.21m,CONMEBOL,1300
82,Benin,21,28.4,£14.78m,CAF,1293
83,Haiti,23,25.7,£6.50m,CONCACAF,1291
84,Uganda,26,25.8,£5.51m,CAF,1287
85,Israel,23,26.7,£39.29m,UEFA,1283
86,Uzbekistan,28,26.6,£25.36m,AFC,1281
87,Zambia,25,26.7,£33.98m,CAF,1280
88,Gabon,24,27,£59.13m,CAF,1278
89,Belarus,25,25.3,£11.12m,UEFA,1277
90,Armenia,23,26.9,£13.50m,UEFA,1273
91,Georgia,28,26.9,£46.94m,UEFA,1260
92,Vietnam,29,25.2,£5.09m,AFC,1258
94,Republic of Congo,24,26.7,£5.29m,CAF,1256
95,Jordan,23,28.9,£6.66m,AFC,1252
96,Luxembourg,24,25.9,£21.44m,UEFA,1245
97,Cyprus,25,25.4,£10.53m,UEFA,1241
98,Bahrain,25,28.2,£5.65m,AFC,1240
99,Kyrgyzstan,26,27.1,£5.18m,AFC,1240
100,Madagascar,23,29.9,£5.38m,CAF,1238
101  ,Mauritania,25,26.2,£5.20m,CAF,1225
102  ,Kenya,24,26.8,£4.70m,CAF,1205
103  ,Trinidad and Tobago,23,28.4,£3.96m,CONCACAF,1201
104  ,Palestine,25,27,£4.28m,AFC,1197
105  ,India,28,25.8,£4.70m,AFC,1184
106  ,Thailand,23,27.2,£6.10m,AFC,1178
107  ,Zimbabwe,22,29,£4.97m,CAF,1176
108  ,Guinea-Bissau,21,26.8,£10.33m,CAF,1171
109  ,North Korea,23,28.1,£5.56m,AFC,1170
110  ,Azerbaijan,30,26.2,£13.05m,UEFA,1169
111  ,Namibia,36,27.7,£6.91m,CAF,1168
112  ,Niger,28,25.7,£2.52m,CAF,1166
113  ,Faroe Islands,23,28.4,£3.38m,UEFA,1165
114  ,Sierra Leone,24,26.4,£1.22m,CAF,1163
115  ,Malawi,23,25.7,£3.26m,CAF,1162
116  ,Estonia,25,26.4,£6.64m,UEFA,1162
117  ,Mozambique,23,28.6,£1.25m,CAF,1162
118  ,Central African Republic,24,26.9,£14.63m,CAF,1158
119  ,Libya,27,27.2,£15.28m,CAF,1156
120  ,Kosovo,21,24.4,£6.48m,UEFA,1152
121  ,Tajikistan,24,22.8,£5.27m,AFC,1151
122  ,New Zealand,24,26.3,£19.85m,OFC,1149
123  ,Sudan,23,28.3,£1.01m,CAF,1149
124  ,Kazakhstan,27,28.6,£16.16m,UEFA,1147
125  ,Philippines,22,27.6,£2.61m,AFC,1136
126  ,Angola,28,26.2,£15.19m,CAF,1136
127,Guatemala,23,27,£3.44m,CONCACAF,1129
128,Antigua and Barbuda,23,26.5,£833Th.,CONCACAF,1129
129,Rwanda,30,26.3,£2.32m,CAF,1124
130,Turkmenistan,36,27.3,£2.07m,AFC,1107
131,Comoros,32,27.5,£10.31m,CAF,1106
132,Equatorial Guinea,24,24.9,£8.37m,CAF,1105
133,Togo,25,26.1,£31.91m,CAF,1104
134,Lithuania,26,27.6,£6.50m,UEFA,1103
135,Saint Kitts and Nevis,23,26.1,£2.14m,CONCACAF,1091
136,Suriname,23,28.7,£17.82m,CONCACAF,1089
137,Tanzania,29,26.7,£5.69m,CAF,1088
138,Latvia,27,25.9,£6.80m,UEFA,1082
139,Myanmar,22,25.4,£2.25m,AFC,1081
140,Ethiopia,27,25.5,£450Th.,CAF,1079
141,Taiwan,23,26.5,£891Th.,AFC,1078
142,Burundi,24,25.5,£5.06m,CAF,1076
143,Solomon Islands,22,27.8,£1.06m,OFC,1073
144,Hong Kong,23,29,£3.62m,AFC,1072
145,Yemen,23,25.4,£1.21m,AFC,1071
146,Lesotho,19,27,£405Th.,CAF,1070
147,Nicaragua,24,27.4,£1.87m,CONCACAF,1061
148,Kuwait,23,26.8,£6.55m,AFC,1056
149,Afghanistan,23,26.8,£2.01m,AFC,1052
150,Botswana,21,27.1,£1.13m,CAF,1052
151,Liberia,27,24.9,£6.21m,CAF,1047
